"TrapID","TrapType","EntryID","Status","InitialBait","Rebaited","BaitType","BaitDetails","Strikes","SpeciesCaught","PB","Mayo"
7233929,"Trapinator",7407929,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234137,"Trapinator",7408159,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7408219,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7248588,"Trapinator",7409068,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7248403,"Trapinator",7409237,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7249255,"DOC 200",7409291,"Sprung","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7247776,"Trapinator",7409605,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7390077,"Trapinator",7409744,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7242754,"Trapinator",7410093,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233095,"Trapinator",7410106,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7225256,"Trapinator",7410644,"Still set, bait missing",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223193,"Trapinator",7431301,"Still set, bait OK","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223942,"Trapinator",7431438,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7300285,"Trapinator",7431902,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224044,"Trapinator",7431920,"Still set, bait OK","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224267,"Trapinator",7431909,"Still set, bait bad","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7409034,"DOC 200",7432557,"Sprung",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7390077,"Trapinator",7434247,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233365,"Trapinator",7435152,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233929,"Trapinator",7437210,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234137,"Trapinator",7437213,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224097,"Trapinator",7437199,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7234236,"Trapinator",7437976,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7225256,"Trapinator",7438460,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7433666,"Trapinator",7443571,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7222633,"Trapinator",7461801,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223193,"Trapinator",7461869,"Sprung","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7292881,"DOC 200",7523121,"Still set, bait OK","None","Yes","Peanut butter","Egg + PB",0,"None",TRUE,FALSE
7223594,"Trapinator",7523149,"Sprung","None","Yes","Peanut butter","Bait bad and replaced",0,"None",TRUE,FALSE
7233929,"Trapinator",7523163,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443541,"DOC 200",7523141,"Still set, bait OK","None","Yes","Peanut butter","Egg + PB",0,"None",TRUE,FALSE
7443752,"DOC 200",7523332,"Still set, bait OK","None","Yes","Peanut butter","Egg + PB",0,"None",TRUE,FALSE
7234137,"Trapinator",7523338,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443978,"DOC 200",7523336,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7444002,"DOC 200",7523723,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7296555,"Trapinator",7523753,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7523851,"Still set, bait missing","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7445555,"DOC 200",7523854,"Still set, bait OK","None","Yes","Peanut butter","Egg + PB",0,"None",TRUE,FALSE
7445462,"DOC 200",7523923,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7445470,"DOC 200",7523983,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7445226,"DOC 200",7524021,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7297104,"Trapinator",7524098,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7504719,"DOC 200",7524149,"Still set, bait OK","None","Yes","Peanut butter","PB",0,"None",TRUE,FALSE
7444188,"DOC 200",7524432,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7443982,"DOC 200",7524562,"Still set, bait OK","None","Yes","Peanut butter","PB + egg",0,"None",TRUE,FALSE
7443753,"DOC 200",7524661,"Sprung","None","Yes","Peanut butter","Egg+pb",1,"Rat - Ship",TRUE,FALSE
7443598,"DOC 200",7524722,"Still set, bait OK","None","Yes","Peanut butter","Egg+pb",0,"None",TRUE,FALSE
7433666,"Trapinator",7524733,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224267,"Trapinator",7524870,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531145,"DOC 200",7531212,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531619,"DOC 200",7531624,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531532,"DOC 200",7531627,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531999,"DOC 200",7532000,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532003,"DOC 200",7532004,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7302788,"DOC 200",7532470,"Still set, bait OK","None","Yes","Peanut butter","Egg+pb",0,"None",TRUE,FALSE
7225256,"Trapinator",7532476,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7232931,"Trapinator",7532714,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234137,"Trapinator",7546646,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532966,"D-Rat",7546657,"Still set, bait missing",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7546765,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223942,"Trapinator",7546875,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7224267,"Trapinator",7546954,"Sprung","Peanut butter","Yes","Peanut butter","L",1,"Possum",TRUE,FALSE
7445462,"DOC 200",7546976,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224271,"Trapinator",7547017,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7224294,"Trapinator",7547187,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7300285,"Trapinator",7547248,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7300266,"Trapinator",7565517,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7532754,"DOC 200",7550608,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224044,"Trapinator",7569559,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223942,"Trapinator",7569593,"Sprung","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532434,"DOC 200",7571855,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7233365,"Trapinator",7617513,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443474,"DOC 200",7617517,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233929,"Trapinator",7617631,"Still set, bait missing","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443541,"DOC 200",7617632,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234137,"Trapinator",7617696,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7445555,"DOC 200",7617944,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7617947,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7445470,"DOC 200",7617996,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7442648,"DOC 200",7727942,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7442767,"DOC 200",7727998,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7442911,"DOC 200",7728112,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7225256,"Trapinator",7728169,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7296555,"Trapinator",7728546,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7409034,"DOC 200",7731046,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7390077,"Trapinator",7731058,"Sprung","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7232931,"Trapinator",7731168,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532661,"DOC 200",7731170,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443228,"DOC 200",7731191,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7433666,"Trapinator",7731196,"Still set, bait bad","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443753,"DOC 200",7731235,"Trap interfered with","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532452,"D-Rat",7731245,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7248588,"Trapinator",7731325,"Sprung","None","Yes","Peanut butter","L",1,"Possum",TRUE,FALSE
7444188,"DOC 200",7731320,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443982,"DOC 200",7731388,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7249374,"DOC 200",7731401,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532656,"DOC 200",7731404,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7295954,"Trapinator",7731421,"Still set, bait missing","Possum Dough","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532757,"D-Rat",7731454,"Sprung","None","Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
7249255,"DOC 200",7731484,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233929,"Trapinator",7731584,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532415,"DOC 200",7732025,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7445226,"DOC 200",7731589,"Sprung","None","Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
7532819,"D-Rat",7731588,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443752,"DOC 200",7731604,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7731688,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234137,"Trapinator",7731694,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532049,"DOC 200",7732031,"Still set, bait OK","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532003,"DOC 200",7732153,"Sprung","None","Yes","Peanut butter",NA,1,"Cat",TRUE,FALSE
7234034,"Trapinator",7732209,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7222633,"Trapinator",7960045,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223594,"Trapinator",7960191,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224267,"Trapinator",7960341,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224271,"Trapinator",7960393,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7300285,"Trapinator",7960555,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7300266,"Trapinator",7960815,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223933,"Trapinator",7960816,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7916170,"DOC 250",7960869,"Sprung",NA,"Yes","Peanut butter",NA,1,"Hedgehog",TRUE,FALSE
7224097,"Trapinator",7961287,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224642,"Trapinator",7961366,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443488,"DOC 200",7961386,"Sprung","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7302799,"DOC 200",7961396,"Sprung","None","Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
7390077,"Trapinator",7961437,"Still set, bait missing","Peanut butter","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7248403,"Trapinator",7961469,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7225256,"Trapinator",7961622,"Still set, bait bad","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7247776,"Trapinator",7961745,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7232993,"Trapinator",7961882,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7246978,"Trapinator",7961923,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7233811,"Trapinator",7962105,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7233929,"Trapinator",7962123,"Still set, bait bad","None","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7296555,"Trapinator",7962250,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532025,"Rat trap",7962235,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7444094,"DOC 200",7962251,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532216,"D-Rat",7962481,"Sprung","None","Yes","Peanut butter","Pb",1,"Rat",TRUE,FALSE
7242754,"Trapinator",7962583,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7234137,"Trapinator",7962649,"Still set, bait missing","Peanut butter","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7531532,"DOC 200",7962584,"Sprung","None","Yes","Peanut butter","Pb",1,"Rat",TRUE,FALSE
7531555,"D-Rat",7962818,"Still set, bait missing","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7531555,"D-Rat",7962820,"Sprung","Peanut butter","Yes","Peanut butter","Pb",1,"Mouse",TRUE,FALSE
7297104,"Trapinator",7962872,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7445489,"DOC 200",7962871,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7504719,"DOC 200",7963242,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7234236,"Trapinator",7963084,"Still set, bait missing","Peanut butter","Yes","Peanut butter","L",0,"None",TRUE,FALSE
7531222,"D-Rat",7963285,"Still set, bait bad","None","Yes","Peanut butter","Pb",0,"None",TRUE,FALSE
7295954,"Trapinator",7963948,"Still set, bait missing","Peanut butter","Yes","Peanut butter","L",0,"None",TRUE,FALSE
8130621,"Rat trap",8130825,"Still set, bait bad",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7931856,"Rat trap",8130826,"Sprung","None","Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
7532210,"D-Rat",8131225,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532342,"DOC 200",8131298,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532025,"Rat trap",8131767,"Still set, bait bad","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532434,"DOC 200",8131982,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7249374,"DOC 200",8132104,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7443171,"DOC 200",8132430,"Sprung","Fresh Rabbit","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7390077,"Trapinator",8132435,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7916663,"D-Rat",8132481,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532455,"D-Rat",8132852,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7531999,"DOC 200",8132948,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7917275,"D-Rat",8132935,"Still set, bait missing",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532043,"DOC 200",8132970,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532049,"DOC 200",8132973,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7295954,"Trapinator",8133056,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532452,"D-Rat",8133110,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7234236,"Trapinator",8133974,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443474,"DOC 200",8133966,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532757,"D-Rat",8134126,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7444002,"DOC 200",8134133,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531222,"D-Rat",8396513,"Sprung","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532216,"D-Rat",8396987,"Sprung","None","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7532025,"Rat trap",8397241,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7532210,"D-Rat",8397602,"Sprung","None","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
8130022,"Rat trap",8570898,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7929621,"Rat trap",8571038,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7928949,"DOC 200",8571043,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7222633,"Trapinator",8571548,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223193,"Trapinator",8571701,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223594,"Trapinator",8571995,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7246978,"Trapinator",8572534,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532210,"D-Rat",8572731,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7532025,"Rat trap",8572869,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7532216,"D-Rat",8574209,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7242754,"Trapinator",8574852,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7242754,"Trapinator",8575662,"Still set, bait bad","Salmon","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7302788,"DOC 200",8580481,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7442911,"DOC 200",8580489,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531555,"D-Rat",8580664,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7302799,"DOC 200",8580715,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7442767,"DOC 200",8580724,"Sprung","None","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7442648,"DOC 200",8581240,"Sprung","None","Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
7531222,"D-Rat",8585655,"Still set, bait bad","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443056,"DOC 200",8585697,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7443146,"DOC 200",8585754,"Still set, bait missing","Fresh Rabbit","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7232993,"Trapinator",8586019,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7532452,"D-Rat",8586761,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
8859174,"D-Rat",8859371,"Still set, bait bad",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
8711387,"D-Rat",8861040,"Sprung",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
8710639,"Rat trap",8863499,"Sprung",NA,"Yes","Peanut butter",NA,1,"Rat",TRUE,FALSE
8709046,"D-Rat",8863751,"Sprung",NA,"Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7443598,"DOC 200",8863901,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
8719778,"D-Rat",9062308,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
8709545,"D-Rat",8864162,"Sprung",NA,"Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7442909,"DOC 200",8864221,"Still set, bait bad","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531222,"D-Rat",9062916,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
8864154,"D-Rat",9063705,"Sprung","None","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7290140,"Trapinator",9064435,"Still set, bait bad","Lure-it Salmon Spray","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7232931,"Trapinator",9064531,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7931747,"DOC 250",9064853,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7531555,"D-Rat",9064951,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7931789,"DOC 200",9065054,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
7233095,"Trapinator",9065564,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7931825,"DOC 250",9065562,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
7929621,"Rat trap",9065618,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7932053,"DOC 200",9066130,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
8130621,"Rat trap",9066367,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7239819,"Trapinator",9066384,"Still set, bait missing","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7242754,"Trapinator",9066374,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7929047,"DOC 250",9066390,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
7931856,"Rat trap",9066424,"Sprung","None","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7532216,"D-Rat",9066461,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
8860114,"D-Rat",9066709,"Sprung",NA,"Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
7532025,"Rat trap",9066844,"Sprung","None","Yes","Peanut butter",NA,1,"Mouse",TRUE,FALSE
8859174,"D-Rat",9066864,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Rat - Ship",TRUE,FALSE
7222633,"Trapinator",9066926,"Still set, bait bad","Peanut butter","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
7222735,"DOC 200",9066930,"Still set, bait bad","Fresh Rabbit","Yes","Peanut butter","Rabbit and fake egg",0,"None",TRUE,FALSE
